graph_id,vertex_count,chromatic_number,time_seconds,memory_bytes
large,100,6,0.047,6224
A,30,10,0.000,5716
B,120,9,0.094,7640
C,100,4,0.016,5892

Specifications:
Running wipl under WSL
Architecture:        x86_64
CPU op-mode(s):      32-bit, 64-bit
Byte Order:          Little Endian
Address sizes:       36 bits physical, 48 bits virtual
CPU(s):              12
On-line CPU(s) list: 0-11
Thread(s) per core:  2
Core(s) per socket:  6
Socket(s):           1
Vendor ID:           GenuineIntel
CPU family:          6
Model:               158
Model name:          Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz
Stepping:            10
CPU MHz:             2208.000
CPU max MHz:         2208.0000
BogoMIPS:            4416.00
RAM:                 16.0 GB
